Date	Species	Strain	logCFU	CFU
20200429	MO	MO.I2.9	5.86923172	740000
20200429	MO	MO.I2.9	5.146128036	140000
20200429	MO	MO.I2.9	3.414973348	2600
20200429	MO	MO.I2.9	5.342422681	220000
20200429	MO	MO.I2.9	5.342422681	220000
20200429	MO	MO.I2.9	2.301029996	200
20200429	MO	MO.I2.9	3.903089987	8000
20200429	MO	MO.I2.9	4.698970004	50000
20200429	MO	MO.I2.9	4.447158031	28000
20200429	MO	MO.I2.9	4.77815125	60000
20200429	MO	MO.I2.9	4.505149978	32000
20200429	MO	MO.I2.9	4.342422681	22000
20200429	MO	MO.I2.9	3.204119983	1600
20200429	MO	MO.I2.9	4.380211242	24000
20200429	MO	MO.I2.9	3.447158031	2800
20200429	MO	MO.I2.9	2.77815125	600
20200429	MO	MO.I2.9	4.62324929	42000
20200429	MO	MO.I2.9	4.602059991	40000
20200429	MO	MO.I2.9	3.477121255	3000
20200429	MO	MO.I2.9	3.342422681	2200
20201017	CG	CG.0	0	0
20201017	CG	CG.0	0	0
20201017	CG	CG.0	0	0
20201017	CG	CG.0	0	0
20201017	CG	CG.0	0	0
20201017	CG	CG.0	0	0
20201017	CG	CG.0	0	0
20201017	CG	CG.0	2.77815125	600
20201017	CG	CG.0	0	0
20201017	CG	CG.0	0	0
20201017	CG	CG.0	0	0
20201017	CG	CG.0	3.301029996	2000
20200902	CG	CG.0	0	0
20200902	CG	CG.0	3.62324929	4200
20200902	CG	CG.0	3.62324929	4200
20200902	CG	CG.0	2.301029996	200
20200902	CG	CG.0	0	0
20200902	CG	CG.0	3.079181246	1200
20200902	CG	CG.0	3.255272505	1800
20200902	CG	CG.0	0	0
20200902	CG	CG.0	2.301029996	200
20200902	CG	CG.0	0	0
20200902	CG	CG.0	0	0
20200902	CG	CG.0	0	0
20201017	CG	CG.1	2.301029996	200
20201017	CG	CG.1	0	0
20201017	CG	CG.1	0	0
20201017	CG	CG.1	0	0
20201017	CG	CG.1	0	0
20201017	CG	CG.1	0	0
20201017	CG	CG.1	2.602059991	400
20201017	CG	CG.1	3.301029996	2000
20201017	CG	CG.1	0	0
20201017	CG	CG.1	4.079181246	12000
20201017	CG	CG.1	4.204119983	16000
20201017	CG	CG.1	0	0
20200902	CG	CG.1	2.77815125	600
20200902	CG	CG.1	3.204119983	1600
20200902	CG	CG.1	3.146128036	1400
20200902	CG	CG.1	3.204119983	1600
20200902	CG	CG.1	0	0
20200902	CG	CG.1	0	0
20200902	CG	CG.1	0	0
20200902	CG	CG.1	2.301029996	200
20200902	CG	CG.1	3.079181246	1200
20200902	CG	CG.1	0	0
20200902	CG	CG.1	2.301029996	200
20200902	CG	CG.1	2.301029996	200
20201017	CG	CG.2	2.77815125	600
20201017	CG	CG.2	2.301029996	200
20201017	CG	CG.2	2.602059991	400
20201017	CG	CG.2	0	0
20201017	CG	CG.2	0	0
20201017	CG	CG.2	0	0
20201017	CG	CG.2	4.146128036	14000
20201017	CG	CG.2	3.748188027	5600
20201017	CG	CG.2	2.77815125	600
20201017	CG	CG.2	0	0
20201017	CG	CG.2	2.301029996	200
20201017	CG	CG.2	0	0
20200902	CG	CG.2	2.602059991	400
20200902	CG	CG.2	2.77815125	600
20200902	CG	CG.2	0	0
20200902	CG	CG.2	0	0
20200902	CG	CG.2	0	0
20200902	CG	CG.2	0	0
20200902	CG	CG.2	0	0
20200902	CG	CG.2	0	0
20200902	CG	CG.2	3.447158031	2800
20200902	CG	CG.2	3.414973348	2600
20200902	CG	CG.2	0	0
20200902	CG	CG.2	0	0
20201017	CG	CG.3	3.146128036	1400
20201017	CG	CG.3	0	0
20201017	CG	CG.3	2.301029996	200
20201017	CG	CG.3	3.342422681	2200
20201017	CG	CG.3	3.903089987	8000
20201017	CG	CG.3	3.255272505	1800
20201017	CG	CG.3	3.255272505	1800
20201017	CG	CG.3	4.556302501	36000
20201017	CG	CG.3	2.602059991	400
20201017	CG	CG.3	0	0
20201017	CG	CG.3	3.255272505	1800
20201017	CG	CG.3	2.903089987	800
20200902	CG	CG.3	2.301029996	200
20200902	CG	CG.3	4.301029996	20000
20200902	CG	CG.3	0	0
20200902	CG	CG.3	2.301029996	200
